Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17202-12528,D,Cincinnati,,Bengals,5.583333333,12,5000,CIN@CLE,CIN,CLE,,
17202-12531,D,Denver,,Broncos,10.91666667,12,4900,DEN@TEN,DEN,TEN,,
17202-12540,D,Minnesota,,Vikings,10.91666667,12,4800,MIN@JAC,MIN,JAC,,
17202-12525,D,Atlanta,,Falcons,5.75,12,4700,ATL@LA,ATL,LA,,
17202-12546,D,Arizona,,Cardinals,8.333333333,12,4700,ARI@MIA,ARI,MIA,,
17202-12550,D,Seattle,,Seahawks,8.333333333,12,4700,SEA@GB,SEA,GB,,
17202-12556,D,Houston,,Texans,5.416666667,12,4700,HOU@IND,HOU,IND,,
17202-12530,D,Dallas,,Cowboys,4.583333333,12,4600,DAL@NYG,DAL,NYG,,
17202-12532,D,Detroit,,Lions,6.75,12,4600,CHI@DET,DET,CHI,,
17202-12552,D,Washington,,Redskins,5.75,12,4600,WAS@PHI,WAS,PHI,,
17202-12534,D,Tennessee,,Titans,5.583333333,12,4500,DEN@TEN,TEN,DEN,,
17202-12539,D,Miami,,Dolphins,7.083333333,12,4500,ARI@MIA,MIA,ARI,,
17202-12543,D,New York,,Giants,7.916666667,12,4500,DAL@NYG,NYG,DAL,,
17202-12544,D,New York,,Jets,3.75,12,4500,NYJ@SF,NYJ,SF,,
17202-12547,D,Pittsburgh,,Steelers,6.583333333,12,4500,PIT@BUF,PIT,BUF,,
17202-12548,D,San Diego,,Chargers,7.833333333,12,4500,SD@CAR,SD,CAR,,
17202-12526,D,Buffalo,,Bills,7.333333333,12,4400,PIT@BUF,BUF,PIT,,
17202-12533,D,Green Bay,,Packers,5.083333333,12,4400,SEA@GB,GB,SEA,,
17202-12535,D,Indianapolis,,Colts,4.833333333,12,4400,HOU@IND,IND,HOU,,
17202-12553,D,Carolina,,Panthers,7,12,4400,SD@CAR,CAR,SD,,
17202-12527,D,Chicago,,Bears,6.166666667,12,4200,CHI@DET,CHI,DET,,
17202-12545,D,Philadelphia,,Eagles,8.583333333,12,4200,WAS@PHI,PHI,WAS,,
17202-12549,D,San Francisco,,49ers,3.666666667,12,4200,NYJ@SF,SF,NYJ,,
17202-12554,D,Jacksonville,,Jaguars,3.166666667,12,4200,MIN@JAC,JAC,MIN,,
17202-12538,D,Los Angeles,,Rams,6.416666667,12,4100,ATL@LA,LA,ATL,,
17202-12551,D,Tampa Bay,,Buccaneers,8.333333333,12,4100,NO@TB,TB,NO,,
17202-12529,D,Cleveland,,Browns,2.916666667,12,4000,CIN@CLE,CLE,CIN,,
17202-12542,D,New Orleans,,Saints,4.083333333,12,4000,NO@TB,NO,TB,,
17202-10647,K,Matt,,Bryant,10.91666667,12,5200,ATL@LA,ATL,LA,,
17202-6668,K,Adam,,Vinatieri,9.833333333,12,5100,HOU@IND,IND,HOU,,
17202-6782,K,Matt,,Prater,10,12,4900,CHI@DET,DET,CHI,,
17202-48380,K,Wil,,Lutz,8.666666667,12,4800,NO@TB,NO,TB,,
17202-6427,K,Connor,,Barth,5.75,12,4800,CHI@DET,CHI,DET,,
17202-24912,K,Dustin,,Hopkins,10.25,12,4800,WAS@PHI,WAS,PHI,,
